Umberto Eco,Numero Zero,Romanzo,1990,16.00
Umberto Eco,Baudolino,Romanzo,1987,9.90
Isaac Asimov,L’altra faccia della spirale,Romanzo,1954,10.50
Isaac Asimov,Abissi d’acciaio,Romanzo,1971,12.00
J.K. Rowling,Harry Potter e i doni della morte,Fantasy,2005,12.00
Umberto Eco,Il nome della rosa,Romanzo,1980,12.50
Umberto Eco,Il cimitero di Praga,Romanzo,2001,10.50
Luigi Pirandello,Liolà,Commedia,1922,7.90
Isaac Asimov,Io robot,Raccolta,1982,9.90
Andrea Camilleri,Il ladro di merendine,Giallo,1996,10.00
J.K. Rowling,Harry Potter e la camera dei segreti,Fantasy,2000,10.50
Michael Connelly,Il ragno,Poliziesco,1996,10.50
Michael Connelly,La memoria del topo,Poliziesco,1997,10.50
Josè Saramago,Viaggio in Portogallo,Romanzo,1996,10.50
Luigi Pirandello,Novelle per un anno,Raccolta,1931,12.00
Luigi Pirandello,Pensaci Giacomino,Commedia,1932,8.90
Isaac Asimov,I robot dell’alba,Romanzo,1967,9.90
Italo Calvino,Il visconte dimezzato,Romanzo,1966,10.00
Andrea Camilleri,Gli arancini di Montalbano,Giallo,1999,10.50
Michael Connelly,Ghiaccio nero,Poliziesco,1993,10.00
Umberto Eco,Il pendolo di Foucault,Romanzo,1983,15.00
Luigi Pirandello,Il fu Mattia Pascal,Romanzo,1934,9.90
Isaac Asimov,Il sole nudo,Romanzo,1981,8.90
Italo Calvino,Il barone rampante,Romanzo,1964,11.00
Andrea Camilleri,Il cane di terracotta,Giallo,1996,12.00
Andrea Camilleri,Un mese con Montalbano,Giallo,1998,10.50
Andrea Camilleri,L’odore della notte,Giallo,2001,10.50
J.K. Rowling,Harry Potter e il calice di fuoco,Fantasy,2001,10.50
Michael Connelly,Musica dura,Poliziesco,2000,10.50
Isaac Asimov,Cronache dalla galassia,Romanzo,1953,10.00
J.K. Rowling,Harry Potter e il principe mezzosangue,Fantasy,2003,9.90
Madaline Miller,La canzone di Achille,Mitologico,2012,10.00
Josè Saramago,Le intermittenze della morte,Romanzo,2001,9.90
Umberto Eco,La misteriosa fiamma della regina Loana,Romanzo,1997,10.00
Andrea Camilleri,La voce del violino,Giallo,1997,10.00
Michael Connelly,Debito di sangue,Poliziesco,1992,12.00
Madaline Miller,Circe,Mitologico,2015,10.00
Luigi Pirandello,Uno nessuno e centomila,Commedia,1920,10.00
Italo Calvino,Il cavaliere inesistente,Romanzo,1971,9.90
Andrea Camilleri,Quindici giorni con Montalbano,Giallo,1999,9.90
Michael Connelly,Vuoto di luna,Poliziesco,1998,9.90
Madaline Miller,Galatea,Mitologico,2018,10.50
Luigi Pirandello,Sei personaggi in cerca d’autore,Commedia,1928,10.50
J.K. Rowling,Harry Potter e l’ordine della fenice,Fantasy,2009,7.90
Isaac Asimov,Il crollo della galassia centrale,Romanzo,1953,10.50
J.K. Rowling,Harry Potter e la pietra filosofale,Fantasy,1999,10.00
J.K. Rowling,Harry Potter e il prigioniero di Azkaban,Fantasy,2007,8.90
Umberto Eco,L’isola del giorno prima,Romanzo,1988,13.00
Michael Connelly,Il poeta,Poliziesco,1995,10.00
Josè Saramago,Cecità,Romanzo,2000,10.50
J.K. Rowling,Harry Potter e l’ordine della fenice,Fantasy,2009,7.90
